pos,mean-2stdev,mean,mean+2stdev,numFiles,max,min,highOutliers,lowOutliers,#reads
268,25.5980,28.7744,31.9508,2,30.3626,27.1862,"","",1640
269,25.0267,27.2660,29.5052,2,28.3856,26.1463,"","",1566
270,24.6370,27.8986,31.1602,2,29.5294,26.2678,"","",1896
271,24.7480,27.3045,29.8609,2,28.5827,26.0263,"","",3900
272,24.6756,27.6761,30.6766,2,29.1763,26.1759,"","",5066
273,25.0125,28.3639,31.7154,2,30.0396,26.6882,"","",9655
274,24.3917,27.4646,30.5375,2,29.0011,25.9281,"","",30983
275,25.6857,26.0568,26.4280,2,26.2424,25.8713,"","",124630
276,17.3417,20.4735,23.6053,2,22.0394,18.9076,"","",1755
277,18.4902,20.1259,21.7616,2,20.9437,19.3080,"","",1777
278,19.6438,19.6837,19.7235,2,19.7036,19.6637,"","",808
279,19.1300,19.1433,19.1565,2,19.1499,19.1366,"","",491
280,18.3287,20.4952,22.6617,2,21.5784,19.4119,"","",559
281,19.5060,19.6595,19.8130,2,19.7362,19.5827,"","",536
282,17.9229,19.7848,21.6467,2,20.7157,18.8539,"","",570
283,19.5197,20.3458,21.1718,2,20.7588,19.9327,"","",627
284,19.9229,20.0088,20.0948,2,20.0518,19.9659,"","",629
285,19.0127,20.3231,21.6335,2,20.9783,19.6679,"","",727
286,19.6014,20.5261,21.4508,2,20.9884,20.0637,"","",841
287,20.3072,20.8020,21.2969,2,21.0494,20.5546,"","",896
288,18.9016,20.1705,21.4394,2,20.8050,19.5360,"","",1019
289,19.7297,20.8987,22.0678,2,21.4832,20.3142,"","",1129
290,20.3112,21.1639,22.0167,2,21.5903,20.7375,"","",1266
291,18.8215,21.4147,24.0078,2,22.7113,20.1181,"","",1407
292,21.0329,22.3624,23.6919,2,23.0272,21.6976,"","",1710
293,21.6767,22.0111,22.3454,2,22.1782,21.8439,"","",1912
294,20.9796,22.0277,23.0758,2,22.5517,21.5036,"","",2342
295,21.0001,22.2889,23.5777,2,22.9333,21.6445,"","",2944
296,23.1042,23.3192,23.5342,2,23.4267,23.2117,"","",3303
297,21.8825,23.4473,25.0121,2,24.2297,22.6649,"","",3725
298,24.1394,25.2026,26.2658,2,25.7342,24.6710,"","",5163
299,26.6462,27.1043,27.5624,2,27.3333,26.8752,"","",9939
300,27.2596,27.9212,28.5828,2,28.2520,27.5904,"","",19407
